DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Estimation and Determinants of Chinese Banks’ Total Factor Efficiency: A New Vision Based on Unbalanced Development of Chinese Banks and Their Overall Risk.;Shiyi Chen, Wolfgang K. Härdle, Li Wang;SFB649DP2014-068.pdf;2014;;20.11.2014;B1;C14, C33, G21
When the Taylor principle is insufficient - A benchmark for the fiscal theory of the price level in a monetary union;Maren Brede;SFB649DP2014-069.pdf;2014;;20.11.2014;C7;E31, E52, E62, E63
The Politics of Related Lending;Michael Halling, Pegaret Pichler, Alex Stomper;SFB649DP2014-070.pdf;2014;;24.11.2014;A15;G21, G38, L32
Functional Data Analysis of Generalized Quantile Regressions;Mengmeng Guo,Lhan Zhou,Jianhua Z. Huang,Wolfgang Karl Härdle;SFB649DP2013-001.pdf;2013;/papers/pdf/SFB649DP2013-001.zip;02.01.2013;B1;"C13,
C23,
C38,
Q54
 "
Statistical properties and stability of ratings in a subset of US firms;Alexander B. Matthies;SFB649DP2013-002.pdf;2013;\N;04.01.2013;Z;"
G20,
G24,
G30,
G32
 "
Empirical Research on Corporate Credit-Ratings: A Literature Review;Alexander B. Matthies;SFB649DP2013-003.pdf;2013;\N;04.01.2013;Z;"
G20,
G24,
G30,
G32,
G34
 "
Preference for Randomization: Empirical and Experimental Evidence;Nadja Dwenger,Dorothea Kübler,Georg Weizsäcker;SFB649DP2013-004.pdf;2013;\N;08.01.2013;A6;D03, D01
Pricing Rainfall Derivatives at the CME;Brenda López Cabrera,Martin Odening,Matthias Ritter;SFB649DP2013-005.pdf;2013;\N;10.01.2013;C11;"
G19,
G29,
G22,
Q59
 "
Inference for Multi-Dimensional High-Frequency Data: Equivalence of Methods, Central Limit Theorems, and an Application to Conditional Independence Testing;Markus Bibinger,Per A. Mykland;SFB649DP2013-006.pdf;2013;\N;15.01.2013;C12;"
C14,
C32,
C58,
G10
 "
Crossing Network versus Dealer Market: Unique Equilibrium in the Allocation of Order Flow;Jutta Dönges,Frank Heinemann,Tijmen R. Daniëls;SFB649DP2013-007.pdf;2013;\N;16.01.2013;C10;"
C62,
G10,
G20
 "
Forecasting systemic impact in financial networks;Nikolaus Hautsch,Julia Schaumburg,Melanie Schienle;SFB649DP2013-008.pdf;2013;\N;30.01.2013;B8,B11;"
G01,
G18,
G32,
G38,
C21,
C51,
C63
 "
‘I'll do it by myself as I knew it all along’: On the failure of hindsight-biased  principals to delegate optimally;David Danz,Frank Hüber,Dorothea Kübler,Lydia Mechtenberg,Julia Schmid;SFB649DP2013-009.pdf;2013;\N;31.01.2013;A6;"
C72,
C91,
D84
 "
Composite Quantile Regression for the Single-Index Model;Yan Fan,Wolfgang Karl Härdle,Weining Wang, Lixing Zhu;SFB649DP2013-010.pdf;2013;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=searchResults&w=book&id=286;13.02.2013;B1;C00, C14, C50, C58
The Real Consequences of Financial Stress;Stefan Mittnik,Willi Semmler;SFB649DP2013-011.pdf;2013;\N;27.02.2013;Z;E2, E6, C13
Are There Bubbles in the Sterling-dollar Exchange Rate? New Evidence from Sequential ADF Tests;Timo Bettendorf,Wenjuan Chen;SFB649DP2013-012.pdf;2013;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2013_012_Quantlet.zip;28.02.2013;C14;C1, F3
A Transfer Mechanism for a Monetary Union;Philipp Engler,Simon Voigts;SFB649DP2013-013.pdf;2013;\N;07.03.2013;C7;F41, F44, E2, E3, E52
Do High-Frequency Data Improve High-Dimensional Portfolio Allocations?;Nikolaus Hautsch,Lada M. Kyj,Peter Malec;SFB649DP2013-014.pdf;2013;\N;08.03.2013;B8,B11;G11, G17, C58, C14, C38
Cyclical Variation in Labor Hours and Productivity Using the ATUS;Michael C. Burda,Daniel S. Hamermesh,Jay Stewart;SFB649DP2013-015.pdf;2013;\N;08.03.2013;C7;E23, J22
Econometrics of co-jumps in high-frequency data with noise;Markus Bibinger,Lars Winkelmann;SFB649DP2013-021.pdf;2013;/papers/pdf/SFB649DP2013-021.zip;02.05.2013;C12,C14;C14, G32, E58
Quantitative forward guidance and the predictability of monetary policy  - A wavelet based jump detection approach - ;Lars Winkelmann;SFB649DP2013-016.pdf;2013;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2013-016_Quantlet.zip;16.04.2013;C14;E58, C14, C58
Estimating the Quadratic Covariation Matrix from Noisy Observations: Local Method of Moments and Efficiency;Markus Bibinger,Nikolaus Hautsch,Peter Malec,Markus Reiß;SFB649DP2013-017.pdf;2013;\N;25.04.2013;B8,C12;C14, C32, C58, G10
Fair re-valuation of wine as an investment;Fabian Y.R.P. Bocart,Christian M. Hafner;SFB649DP2013-018.pdf;2013;/papers/pdf/SFB649DP2013-018.zip ;25.04.2013;Z;C14, C43, M40, G12
The European Debt Crisis: How did we get into this mess? How can we get out of it?;Michael C. Burda;SFB649DP2013-019.pdf;2013;\N;25.04.2013;C7;F33, F34, E42
Disaster Risk in a New Keynesian Model;Maren Brede;SFB649DP2013-020.pdf;2013;\N;25.04.2013;C7;E21, E31, E32
Decomposing Risk in Dynamic Stochastic General Equilibrium;Hong Lan,Alexander Meyer-Gohde;SFB649DP2013-022.pdf;2013;\N;02.05.2013;C7;C63, E32, G12
Reference Dependent Preferences and the EPK Puzzle;Maria Grith,Wolfgang Karl Härdle,Volker Krätschmer;SFB649DP2013-023.pdf;2013;/papers/pdf/2013023.zip ;06.05.2013;B1;D04, D53, C02, G13
Pruning in Perturbation DSGE Models - Guidance from Nonlinear Moving Average Approximations;Hong Lan,Alexander Meyer-Gohde;SFB649DP2013-024.pdf;2013;\N;07.05.2013;C7;C52, C63, E30
The ‘Celtic Crisis’: Guarantees, transparency, and systemic liquidity risk;Philipp König,Kartik Anand,Frank Heinemann;SFB649DP2013-025.pdf;2013;\N;16.05.2013;C10;G01, G28, D89
State Price Densities implied from weather derivatives;Wolfgang Karl Härdle,Brenda López-Cabrera,Huei-Wen Teng;SFB649DP2013-026.pdf;2013;/papers/pdf/SFB649DP2013-026.zip;16.05.2013;B1,C11;C11, C22, C58, G12, G13, G19, G22, N23, N53
Bank Lending Relationships and the Use of Performance-Sensitive Debt;Tim R. Adam,Daniel Streitz;SFB649DP2013-027.pdf;2013;\N;21.05.2013;A13;G21, G31, G32
Analysis of Deviance in Generalized Partial Linear Models;Wolfgang Karl Härdle,Li-Shan Huang;SFB649DP2013-028.pdf;2013;\N;28.05.2013;B1;C00, C14, C50, C58
Estimating the quadratic covariation of an asynchronously observed semimartingale with jumps;Markus Bibinger,Mathias Vetter;SFB649DP2013-029.pdf;2013;\N;28.05.2013;C12;G10, C14
Can expert knowledge compensate for data scarcity in crop insurance pricing?;Zhiwei Shen,Martin Odening,Ostap Okhrin;SFB649DP2013-030.pdf;2013;\N;31.05.2013;B10,C11;C14, Q19
Comparison of Methods for Constructing Joint Confidence Bands for Impulse Response Functions;Helmut Lütkepohl,Anna Staszewska-Bystrova,Peter Winker;SFB649DP2013-031.pdf;2013;/papers/pdf/SFB649DP2013-031.zip;31.05.2013;C15;C32
CDO Surfaces Dynamics;Barbara Choros-Tomczyk,Wolfgang Karl Härdle,Ostap Okhrin;SFB649DP2013-032.pdf;2013;\N;09.07.2013;B1,B10;C14, C51, G11, G17
Estimation and Inference for Varying-coeffcient Models with Nonstationary Regressors using Penalized Splines;Haiqiang Chen,Ying Fang,Yingxing Li;SFB649DP2013-033.pdf;2013;/papers/pdf/SFB649DP2013-033.zip;17.07.2013;B1;C12, C14, C22
Robust Estimation and Inference for Threshold Models with Integrated Regressors;Haiqiang Chen;SFB649DP2013-034.pdf;2013;/papers/pdf/SFB649DP2013-034.zip;17.07.2013;B1;C12, C22, C52
A new perspective on the economic valuation of informal care: The well-being approach revisited;Konstantin Kehl,Stephan Stahlschmidt;SFB649DP2013-035.pdf;2013;\N;07.08.2013;B1;D61, I11, I31
Herding in financial markets: Bridging the gap between theory and evidence;Christopher Boortz,Simon Jurkatis,Stephanie Kremer,Dieter Nautz;SFB649DP2013-036.pdf;2013;\N;07.08.2013;C14;G11, G24
Default Risk Calculation based on Predictor Selection for the Southeast Asian Industry;Wolfgang Karl Härdle,Dedy Dwi Prastyo;SFB649DP2013-037.pdf;2013;\N;13.08.2013;B1;C13, C61, G33
ECB monetary policy surprises: identification through cojumps in interest rates;Lars Winkelmann,Markus Bibinger,Tobias Linzert;SFB649DP2013-038.pdf;2013;/papers/pdf/SFB649DP2013-038.zip;29.08.2013;C12,C14;E58, C14, C58
Limited higher order beliefs and the welfare effects of public information;Camille Cornand, Frank Heinemann;SFB649DP2013-039.pdf;2013;/papers/pdf/SFB649DP2013-039.zip;29.08.2013;C10;D82, D83, E52, E58
Privacy Concerns, Voluntary Disclosure of Information, and Unraveling: An Experiment;Volker Benndorf,Dorothea Kübler,Hans-Theo Normann;SFB649DP2013-040.pdf;2013;\N;05.09.2013;A6;C72, C90, C91
Goodness-of-fit Test for Specification of Semiparametric Copula Dependence Models;Shulin Zhang,Ostap Okhrin,Qian M. Zhou,Peter X.-K. Song;SFB649DP2013-041.pdf;2013;\N;05.09.2013;B10;C12, C22, C32, C52, G15
Volatility linkages between energy and agricultural commodity prices;Brenda López Cabrera,Franziska Schulz;SFB649DP2013-042.pdf;2013;https://github.com/QuantLet/VolLinkages;11.09.2013;C11;G19, G29, G22, Q14, Q49, Q59
Testing the Preferred-Habitat Theory: The Role of Time-Varying Risk Aversion;Till Strohsal;SFB649DP2013-043.pdf;2013;\N;25.09.2013;C14,C15;E43, C22
Assortative matching through signals;Friedrich Poeschel;SFB649DP2013-044.pdf;2013;\N;26.09.2013;C7;J64, D83, C78
Intertemporal Consumption and Debt Aversion: An Experimental Study;Thomas Meissner;SFB649DP2013-045.pdf;2013;/papers/pdf/SFB649DP2013-045.zip;11.10.2013;C10;C91, D81, E21
Automated Valuation Modelling: A Specification Exercise;Rainer Schulz, Martin Wersing, Axel Werwatz;SFB649DP2013-046.pdf;2013;\N;11.10.2013;B3;R32, C52, C53
Tie the straps: uniform bootstrap confidence bands for bounded influence curve estimators;Wolfgang Karl Härdle, Ya'acov Ritov, Weining Wang;SFB649DP2013-047.pdf;2013;/papers/pdf/SFB649DP2013-047.zip;28.10.2013;B1,Z;C00, C14
HMM in dynamic HAC models;Wolfgang Karl Härdle,Ostap Okhrin,Weining Wang;SFB649DP2012-001.pdf;2012;\N;04.01.2012;B1,B10;"
C13,
C14,
G50
 "
Dynamic Activity Analysis Model Based Win-Win Development Forecasting Under the Environmental Regulation in China;Shiyi Chen,Wolfgang Karl Härdle;SFB649DP2012-002.pdf;2012;\N;05.01.2012;B1;"
D24,
O47,
Q25,
Q32
 "
A Donsker Theorem for Lévy Measures;Richard Nickl,Markus Reiß;SFB649DP2012-003.pdf;2012;\N;05.01.2012;C12;"
C14,
C22
 "
Computational Statistics (Journal);Wolfgang Karl Härdle,Yuichi Mori,Jürgen Symanzik;SFB649DP2012-004.pdf;2012;\N;05.01.2012;B1;"
C63,
C88,
Y30
 "
Implementing quotas in university admissions: An experimental analysis;Sebastian Braun,Nadja Dwenger,Dorothea Kübler,Alexander Westkamp;SFB649DP2012-005.pdf;2012;\N;11.01.2012;A6;"
C78,
C92,
D78,
I20
 "
Quantile Regression in Risk Calibration;Shih-Kang Chao,Wolfgang Karl Härdle,Weining Wang;SFB649DP2012-006.pdf;2012;\N;25.01.2012;B1,B10;"
C14,
C21,
C22,
C53,
G01,
G10,
G20,
G32
 "
Total Work and Gender: Facts and Possible Explanations;Michael Burda,Daniel S. Hamermesh,Philippe Weil;SFB649DP2012-007.pdf;2012;\N;02.02.2012;C7;"
J22,
J16,
D13
 "
Does Basel II Pillar 3 Risk Exposure Data help to Identify Risky Banks?;Ralf Sabiwalsky;SFB649DP2012-008.pdf;2012;\N;02.02.2012;Z;"G17, G21
 "
Comparability Effects of Mandatory IFRS Adoption;Stefano Cascino,Joachim Gassen;SFB649DP2012-009.pdf;2012;\N;08.02.2012;A7;"
M41,
G14,
F42
 "
Fair Value Reclassifications of Financial Assets during the Financial Crisis;Jannis Bischof,Ulf Brüggemann,Holger Daske;SFB649DP2012-010.pdf;2012;\N;08.02.2012;A7;"
G14,
G21,
G28,
M41,
M48
 "
Intended and unintended consequences of mandatory IFRS adoption: A review of extant evidence and suggestions for future research;Ulf Brüggemann,Jörg-Markus Hitz,Thorsten Sellhorn;SFB649DP2012-011.pdf;2012;\N;08.02.2012;A7;"
G38,
K12,
K22,
K34,
M41,
M48
 "
Confidence sets in nonparametric calibration of exponential Lévy models;Jakob Söhl;SFB649DP2012-012.pdf;2012;\N;08.02.2012;C12;"
G13,
C14
 "
The Polarization of Employment in German Local Labor Markets;Charlotte Senftleben,Hanna Wielandt;SFB649DP2012-013.pdf;2012;\N;08.02.2012;A9;"
J24,
J31,
J62,
O33,
R23
 "
On the Dark Side of the Market: Identifying and Analyzing Hidden Order Placements;Nikolaus Hautsch,Ruihong Huang;SFB649DP2012-014.pdf;2012;\N;09.02.2012;B8;"
G14,
C24,
C25,
G17
 "
Existence and Uniqueness of Perturbation Solutions to DSGE Models;Hong Lan,Alexander Meyer-Gohde;SFB649DP2012-015.pdf;2012;\N;15.02.2012;C7;"
C61,
C63,
E17
 "
Nonparametric adaptive estimation of linear functionals for low frequency observed Lévy processes;Johanna Kappus;SFB649DP2012-016.pdf;2012;\N;15.02.2012;C12;"
C14
 "
Managerial Overconfidence and Corporate Risk Management;Tim R. Adam,Chitru S. Fernando,Evgenia Golubeva;SFB649DP2012-018.pdf;2012;\N;21.02.2012;A13;"
G11,
G14,
G32,
G39
 "
Why Do Firms Engage in Selective Hedging?;Tim R. Adam,Chitru S. Fernando,Jesus M. Salas;SFB649DP2012-019.pdf;2012;\N;21.02.2012;A13;"
G11,
G14,
G32,
G39
 "
A Slab in the Face: Building Quality and Neighborhood Effects;Rainer Schulz,Martin Wersing;SFB649DP2012-020.pdf;2012;\N;23.02.2012;B3;"R31, D62, C31
 "
Option calibration of exponential Lévy models: Implementation and empirical results;Jakob Söhl,Mathias Trabs;SFB649DP2012-017.pdf;2012;\N;29.02.2012;C12;
A Strategy Perspective on the Performance Relevance of the CFO;Andreas Venus,Andreas Engelen;SFB649DP2012-021.pdf;2012;\N;29.02.2012;Z;"
G30,
M10
 "
Assessing the Anchoring of Inflation Expectations;Till Strohsal,Lars Winkelmann;SFB649DP2012-022.pdf;2012;\N;29.02.2012;C14;"
E52,
E58,
C32
 "
Hidden Liquidity: Determinants and Impact;Gökhan Cebiroglu;SFB649DP2012-023.pdf;2012;\N;07.03.2012;A11;"
G10,
G11,
G12,
G14,
G24
 "
Bye Bye, G.I. - The Impact of the U.S. Military Drawdown on Local German Labor Markets;Jan Peter aus dem Moore, Alexandra Spitz-Oener;SFB649DP2012-024.pdf;2012;\N;07.03.2012;A9;"
J23,
R23
 "
Is socially responsible investing just screening? Evidence from mutual funds;Markus Hirschberger,Ralph E. Steuer,Sebastian Utz,Maximilian Wimmer;SFB649DP2012-025.pdf;2012;\N;07.03.2012;Z;"C61, G11
 "
Explaining regional unemployment differences in Germany: a spatial panel data analysis;Franziska Lottmann;SFB649DP2012-026.pdf;2012;\N;16.03.2012;B8;"
C23,
R12,
R23
 "
Forecast based Pricing of Weather Derivatives;Wolfgang Karl Härdle,Brenda López-Cabrera,Matthias Ritter;SFB649DP2012-027.pdf;2012;\N;16.03.2012;B1,C11;"
G19,
G29,
G22,
N23,
N53,
Q59
 "
Does umbrella branding really work? Investigating cross-category brand loyalty;Nadja Silberhorn,Lutz Hildebrandt;SFB649DP2012-028.pdf;2012;\N;25.04.2012;B2;"
M31,
C43
 "
Statistical Modelling of Temperature Risk;Zografia Anastasiadou,Brenda López-Cabrera;SFB649DP2012-029.pdf;2012;\N;25.04.2012;C11;"G19, G29, G22, N23, N53, Q59
 "
Support Vector Machines with Evolutionary Feature Selection for Default Prediction;Wolfgang Karl Härdle,Dedy Dwi Prastyo,Christian Hafner;SFB649DP2012-030.pdf;2012;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=searchResults&w=book&id=288;25.04.2012;B1;"C14,
C45,
C61,
C63,
G33
 "
Local Adaptive Multiplicative Error Models for High-Frequency Forecasts;Wolfgang Karl Härdle,Nikolaus Hautsch,Andrija Mihoci;SFB649DP2012-031.pdf;2012;/papers/pdf/SFB649DP2012-031.zip;27.04.2012;B1,B8;"
C41,
C51,
C53,
G12,
G17
 "
Copula Dynamics in CDOs;Barbara Choros-Tomczyk,Wolfgang Karl Härdle,Ludger Overbeck;SFB649DP2012-032.pdf;2012;\N;08.05.2012;B1;"
C13,
C22,
C53,
G32
 "
Simultaneous Statistical Inference in Dynamic Factor Models;Thorsten Dickhaus;SFB649DP2012-033.pdf;2012;\N;08.05.2012;A14;"
C12,
C32,
C52
 "
Realized Copula;Matthias R. Fengler,Ostap Okhrin;SFB649DP2012-034.pdf;2012;\N;22.05.2012;B10;"G12, C13, C14, C22, C50
 "
Correlated Trades and Herd Behavior in the Stock Market;Simon Jurkatis,Stephanie Kremer,Dieter Nautz;SFB649DP2012-035.pdf;2012;\N;22.05.2012;C14;"G11, G24, C23
 "
Hierarchical Archimedean Copulae: The HAC Package;Ostap Okhrin,Alexander Ristig;SFB649DP2012-036.pdf;2012;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2012-036_q.zip;22.05.2012;B10;"C51, C87
 "
Do Japanese Stock Prices Reflect Macro Fundamentals?;Wenjuan Chen,Anton Velinov;SFB649DP2012-037.pdf;2012;\N;22.05.2012;C14;"
G12,
E23
 "
The Aging Investor: Insights from Neuroeconomics;Peter N. C. Mohr,Hauke R. Heekeren;SFB649DP2012-038.pdf;2012;\N;22.05.2012;A12;"
D03,
D87,
G02,
G11
 "
Volatility of price indices for heterogeneous goods;Fabian Y.R.P. Bocart,Christian M. Hafner;SFB649DP2012-039.pdf;2012;\N;30.05.2012;Z;"
C14,
C43,
Z11
 "
Location, location, location: Extracting location value from house prices;Jens Kolbe,Rainer Schulz,Martin Wersing,Axel Werwatz;SFB649DP2012-040.pdf;2012;\N;30.05.2012;B3;"
R31,
C14
 "
Multiple Point Hypotheses Testing problems and effective numbers of tests;Thorsten Dickhaus,Jens Stange;SFB649DP2012-041.pdf;2012;\N;26.06.2012;A14;C12, C44
Generated Covariates in Nonparametric Estimation: A Short Review.;Enno Mammen,Christoph Rothe,Melanie Schienle;SFB649DP2012-042.pdf;2012;\N;26.06.2012;B11;"
C14,
C31
 "
The Signal of Volatility;Till Strohsal,Enzo Weber;SFB649DP2012-043.pdf;2012;\N;26.06.2012;C14;"
G15,
C32
 "
Copula-Based Dynamic Conditional Correlation Multiplicative Error Processes;Taras Bodnar,Nikolaus Hautsch;SFB649DP2012-044.pdf;2012;\N;12.07.2012;B8;"
C32,
C58,
C46
 "
Additive Models: Extensions and Related Models.;Enno Mammen,Byeong U. Park,Melanie Schienle;SFB649DP2012-045.pdf;2012;;09.08.2012;B11;"C14, C30
 "
A uniform central limit theorem and efficiency for deconvolution estimators;Jakob Söhl,Mathias Trabs;SFB649DP2012-046.pdf;2012;\N;09.08.2012;C12;"
C14
 "
Nonparametric Kernel Density Estimation Near the Boundary;Peter Malec,Melanie Schienle;SFB649DP2012-047.pdf;2012;\N;17.08.2012;B11;"
C14,
C51
 "
Yield Curve Modeling and Forecasting using Semiparametric Factor Dynamics;Wolfgang Karl Härdle,Piotr Majer;SFB649DP2012-048.pdf;2012;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=show&id=1151;17.08.2012;B1;"C14,
C51
 "
Simultaneous test procedures in terms of p-value copulae;Thorsten Dickhaus,Jakob Gierl;SFB649DP2012-049.pdf;2012;\N;21.08.2012;A14;"
C12,
C44
 "
Do Natural Resource Sectors Rely Less on External Finance than Manufacturing Sectors?;Christian Hattendorff;SFB649DP2012-050.pdf;2012;\N;21.08.2012;Z;"
G20,
G30,
O13,
O14,
O16
 "
Using transfer entropy to measure information flows between financial markets;Thomas Dimpfl,Franziska J. Peter;SFB649DP2012-051.pdf;2012;\N;23.08.2012;Z;"
 "
Rethinking stock market integration: Globalization, valuation and convergence;Pui Sun Tam,Pui I Tam;SFB649DP2012-052.pdf;2012;\N;31.08.2012;Z;"
F36,
G12,
G15
 "
Financial Network Systemic Risk Contributions;Nikolaus Hautsch,Julia Schaumburg,Melanie Schienle;SFB649DP2012-053.pdf;2012;\N;31.08.2012;B8,B11;"
G01,
G18,
G32,
G38,
C21,
C51,
C63
 "
Modeling Time-Varying Dependencies between Positive-Valued High-Frequency Time Series;Nikolaus Hautsch,Ostap Okhrin,Alexander Ristig;SFB649DP2012-054.pdf;2012;\N;12.09.2012;B8,B10;"
C32,
C51
 "
Consumer Standards as a Strategic Device to Mitigate Ratchet Effects in Dynamic Regulation;Raffaele Fiocco,Roland Strausz;SFB649DP2012-055.pdf;2012;\N;28.09.2012;A8;"
D82,
L51
 "
Strategic Delegation Improves Cartel Stability;Martijn A. Han;SFB649DP2012-056.pdf;2012;\N;11.10.2012;A8;"
D43,
L13,
L20,
L41
 "
Short-Term Managerial Contracts and Cartels;Martijn A. Han;SFB649DP2012-057.pdf;2012;\N;11.10.2012;A8;"
L13,
L22,
L41
 "
Private and Public Control of Management;Charles Angelucci,Martijn A. Han;SFB649DP2012-058.pdf;2012;\N;12.10.2012;A8;"
K21,
K42,
L40
 "
Cartelization Through Buyer Groups;Chris Doyle,Martijn A. Han;SFB649DP2012-059.pdf;2012;\N;12.10.2012;A8;"K21, L13, L41, L42
 "
Modelling general dependence between commodity forward curves;Mikhail Zolotko,Ostap Okhrin;SFB649DP2012-060.pdf;2012;\N;12.10.2012;B10;"
C13,
C53,
Q40
 "
Variable selection in Cox regression models with varying coefficients;Toshio Honda,Wolfgang Karl Härdle;SFB649DP2012-061.pdf;2012;\N;12.10.2012;B1;"
C14,
C24
 "
Brand equity – how is it affected by critical incidents and what moderates the effect;Sven Tischer,Lutz Hildebrandt;SFB649DP2012-062.pdf;2012;\N;22.10.2012;B2;"
M14,
M31,
C12,
C14,
C38,
C93
 "
Common factors in credit defaults swaps markets;Yi-Hsuan Chen,Wolfgang Karl Härdle;SFB649DP2012-063.pdf;2012;\N;25.10.2012;B1;"
C38;
G32;
E43
 "
Measuring the impact of critical incidents on brand personality;Sven Tischer;SFB649DP2012-064.pdf;2012;\N;29.10.2012;B2;"
M14,
M31,
C12,
C14,
C38,
C93
 "
Covered bonds, core markets, and financial stability;Kartik Anand,James Chapman,Prasanna Gai;SFB649DP2012-065.pdf;2012;\N;30.10.2012;C10;"
G01,
G18,
G21
 "
Implied Basket Correlation Dynamics;Wolfgang Karl Härdle,Elena Silyakova;SFB649DP2012-066.pdf;2012;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=searchResults&w=book&id=307;14.11.2012;B1;"
C14,
C32,
G12,
G13,
G15,
G17
 "
Can the market forecast the weather better than meteorologists?;Matthias Ritter;SFB649DP2012-067.pdf;2012;\N;10.12.2012;C11;"G15, G17, Q41, Q47
 "
Localising temperature risk;Wolfgang Karl Härdle,Brenda López Cabrera,Ostap Okhrin,Weining Wang;SFB649DP2011-001.pdf;2011;\N;03.01.2011;B1,B10;"G19, G29, G22, N23, N53, Q59
 "
A Confidence Corridor for Sparse Longitudinal Data Curves;Shuzhuan Zheng,Lijian Yang,Wolfgang Karl Härdle;SFB649DP2011-002.pdf;2011;\N;03.01.2011;B1;"
C14,
C33
 "
Mean Volatility Regressions;Lu Lin,Feng Li,Lixing Zhu,Wolfgang Karl Härdle;SFB649DP2011-003.pdf;2011;\N;03.01.2011;B1;"
C00,
C14,
J01,
J31
 "
A Confidence Corridor for Expectile Functions;Esra Akdeniz Duran,Mengmeng Guo,Wolfgang Karl Härdle;SFB649DP2011-004.pdf;2011;\N;03.01.2011;B1;"
C00,
C14,
J01,
J31
 "
Local Quantile Regression;Wolfgang Karl Härdle,Vladimir Spokoiny,Weining Wang;SFB649DP2011-005.pdf;2011;\N;03.01.2011;B1,B5,B10;"
C00,
C14,
J01,
J31
 "
Sticky Information and Determinacy;Alexander Meyer-Gohde;SFB649DP2011-006.pdf;2011;\N;12.01.2011;C7;"
C62,
E31,
E43,
E52
 "
Mean-Variance Cointegration and the Expectations Hypothesis;Till Strohsal,Enzo Weber;SFB649DP2011-007.pdf;2011;\N;07.02.2011;C14;"
E43,
C32
 "
Monetary Policy, Trend Inflation and Inflation Persistence;Fang Yao;SFB649DP2011-008.pdf;2011;\N;17.02.2011;C7;"
E31,
E52
 "
Exclusion in the All-Pay Auction: An Experimental Investigation;Dietmar Fehr,Julia Schmid;SFB649DP2011-009.pdf;2011;\N;17.02.2011;A6;"
C72,
C92,
D84
 "
Unwillingness to Pay for Privacy: A Field Experiment;Alastair R. Beresford,Dorothea Kübler,Sören Preibusch;SFB649DP2011-010.pdf;2011;\N;17.02.2011;A6;"
C93,
D12
 "
Human Capital Formation on Skill-Specific Labor Markets;Runli Xie;SFB649DP2011-011.pdf;2011;\N;21.02.2011;C7;"
E24,
E32,
J24,
J63
 "
A strategic mediator who is biased into the same direction as the expert can improve information transmission;Lydia Mechtenberg,Johannes Münster;SFB649DP2011-012.pdf;2011;\N;03.03.2011;A6;"
C72,
D82,
D83
 "
Spatial Risk Premium on Weather Derivatives and Hedging Weather Exposure in Electricity;Wolfgang Karl Härdle,Maria Osipenko;SFB649DP2011-013.pdf;2011;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2011-013_q.zip;03.03.2011;B1;"
C01,
C31
 "
Difference based Ridge and Liu type Estimators in Semiparametric Regression Models;Esra Akdeniz Duran,Wolfgang Karl Härdle,Maria Osipenko;SFB649DP2011-014.pdf;2011;http://sfb649.wiwi.hu-berlin.de/quantnet/index.php?p=show&id=983;03.03.2011;B1;"C14,
C51
 "
Short-Term Herding of Institutional Traders: New Evidence from the German Stock Market;Stephanie Kremer,Dieter Nautz;SFB649DP2011-015.pdf;2011;\N;10.03.2011;C14;"
D81,
G11,
G24
 "
Oracally Efficient Two-Step Estimation of Generalized Additive Model;Rong Liu,Lijian Yang,Wolfgang Karl Härdle;SFB649DP2011-016.pdf;2011;\N;14.03.2011;B1;"
C00,
C14,
J01,
J31
 "
The Law of Attraction: Bilateral Search and Horizontal Heterogeneity;Dirk Hofmann,Salmai Qari;SFB649DP2011-017.pdf;2011;\N;18.03.2011;A8;"
D13,
D61,
J12
 "
Can crop yield risk be globally diversified?;Xiaoliang Liu,Wei Xu,Martin Odening;SFB649DP2011-018.pdf;2011;\N;18.03.2011;C11;"
C14,
Q19
 "
What Drives the Relationship Between Inflation and Price Dispersion? Market Power vs. Price Rigidity;Sascha Becker;SFB649DP2011-019.pdf;2011;\N;23.03.2011;C14;"
C23,
D40,
E31,
F15
 "
How Computational Statistics Became the Backbone of Modern Data Science;James E. Gentle,Wolfgang Karl Härdle,Yuichi Mori;SFB649DP2011-020.pdf;2011;\N;03.05.2011;B1;"
C15
 "
Customer Reactions in Out-of-Stock Situations – Do promotion-induced phantom positions alleviate the similarity substitution hypothesis?;Jana Luisa Diels,Nicole Wiebach;SFB649DP2011-021.pdf;2011;\N;03.05.2011;B2;"
M31,
C12,
C13,
C81
 "
Extreme value models in a conditional duration intensity framework;Rodrigo Herrera,Bernhard Schipp;SFB649DP2011-022.pdf;2011;\N;10.05.2011;Z;"
C22,
C58,
F30
 "
Forecasting Corporate Distress in the Asian and Pacific Region;Russ Moro,Wolfgang Härdle,Saeideh Aliakbari,Linda Hoffmann;SFB649DP2011-023.pdf;2011;\N;20.05.2011;B1;"
C14,
G33,
C45
 "
